Market_Cap,Name,Price,Rank,Volume,Link,Circulating_Supply,value1,value3,Symbol,value2
"
$112,122,392,776
",Bitcoin,$6467.74,"
1
","$3,572,881,439",/currencies/bitcoin/,"17,335,650",-0.04%,-2.66%,BTC,-1.07%
"
$21,008,014,153
",Ethereum,$204.50,"
2
","$1,351,526,276",/currencies/ethereum/,"102,726,660",0.21%,-3.19%,ETH,-1.35%
"
$18,130,566,319
",XRP,$0.453291,"
3
","$270,527,001",/currencies/ripple/,"39,997,634,397",0.21%,1.81%,XRP,-1.91%
"
$7,770,660,589
",Bitcoin Cash,$446.18,"
4
","$307,447,450",/currencies/bitcoin-cash/,"17,416,013",0.21%,-3.50%,BCH,-0.95%
"
$4,900,075,979
",EOS,$5.41,"
5
","$400,548,764",/currencies/eos/,"906,245,118",0.20%,-0.93%,EOS,-1.17%
"
$4,563,213,034
",Stellar,$0.241524,"
6
","$45,862,987",/currencies/stellar/,"18,893,406,788",0.54%,7.85%,XLM,-1.12%
"
$3,091,530,724
",Litecoin,$52.55,"
7
","$262,401,641",/currencies/litecoin/,"58,832,027",0.32%,-4.63%,LTC,-1.50%
"
$2,036,825,366
",Tether,$0.980930,"
8
","$2,346,082,065",/currencies/tether/,"2,076,421,736",0.08%,1.73%,USDT,-0.46%
"
$1,954,375,574
",Cardano,$0.075380,"
9
","$18,857,300",/currencies/cardano/,"25,927,070,538",-0.05%,0.80%,ADA,-2.29%
"
$1,725,741,317
",Monero,$104.54,"
10
","$13,164,429",/currencies/monero/,"16,508,358",0.32%,-1.05%,XMR,-0.73%
"
$1,572,684,007
",TRON,$0.023920,"
11
","$83,787,373",/currencies/tron/,"65,748,111,645",-0.04%,-4.34%,TRX,-2.59%
"
$1,365,123,821
",IOTA,$0.491135,"
12
","$18,031,421",/currencies/iota/,"2,779,530,283",0.62%,-3.57%,MIOTA,-2.39%
"
$1,280,721,576
",Dash,$152.55,"
13
","$123,897,511",/currencies/dash/,"8,395,248",-0.04%,-7.11%,DASH,-2.44%
"
$1,265,178,404
",Binance Coin,$9.67,"
14
","$25,197,944",/currencies/binance-coin/,"130,799,315",0.08%,-3.25%,BNB,-1.61%
"
$1,075,990,225
",NEO,$16.55,"
15
","$179,940,192",/currencies/neo/,"65,000,000",0.83%,1.12%,NEO,-1.34%
"
$1,050,414,110
",Ethereum Classic,$9.96,"
16
","$152,420,461",/currencies/ethereum-classic/,"105,460,701",3.86%,1.83%,ETC,2.41%
"
$892,914,795
",NEM,$0.099213,"
17
","$10,921,541",/currencies/nem/,"8,999,999,999",0.37%,3.04%,XEM,2.58%
"
$817,805,052
",Tezos,$1.35,"
18
","$1,815,695",/currencies/tezos/,"607,489,041",0.63%,6.47%,XTZ,1.90%
"
$623,585,595
",Zcash,$123.07,"
19
","$90,511,347",/currencies/zcash/,"5,067,106",0.55%,7.94%,ZEC,-1.66%
"
$622,898,774
",VeChain,$0.011233,"
20
","$13,382,567",/currencies/vechain/,"55,454,734,800",-0.07%,-4.86%,VET,-3.36%
"
$516,898,670
",Dogecoin,$0.004431,"
21
","$9,247,192",/currencies/dogecoin/,"116,654,357,347",0.08%,-15.35%,DOGE,-3.29%
